Βίβλος	[The] book
ῥήματι	word
ἐκπορευομένῳ	coming out
διὰ	of
στόματος	[the] mouth
Θεοῦ.’	of God.’
Τότε	Then
ὁ	the
διάβολος	devil
παραλαμβάνει	takes
αὐτὸν	Him
εἰς	to
τὴν	the
ἁγίαν	holy
πόλιν,	city
καὶ	and
ἔστησεν	sets
αὐτὸν	Him
ἐπὶ	upon
τὸ	the
πτερύγιον	pinnacle
τοῦ	of the
ἱεροῦ,	temple,
“Εἰ	If
εἶ	You are
Υἱὸς	Son
τοῦ	-
Θεοῦ,	of God,
καὶ	and
λέγει	says
αὐτῷ	to him,
βάλε	throw
σεαυτὸν	Yourself
κάτω·	down;
γὰρ	for
γέγραπται	it has been written
ἐντελεῖται	He will give orders
ὅτι	-:
‘Τοῖς	To the
αὐτοῦ	of Him
ἀγγέλοις	angels
περὶ	concerning
σοῦ	You,
καὶ	and
σε,	You,
ἀροῦσίν	will they bear up
ἐπὶ	in
χειρῶν	[their] hands
μή‿	lest
ποτε	ever
προσκόψῃς	You strike
τὸν	the
σου.’	of You.’
πόδα	foot
πρὸς	against
λίθον	a stone
Ἰησοῦς	Jesus,
Ἔφη	Said
αὐτῷ	to him
ὁ	-
“Πάλιν	Again
γέγραπται	it has been written:
ἐκπειράσεις	you shall test
‘Οὐκ	Not
Κύριον	[the] Lord
τὸν	the
σου.’	of you.’
Θεόν	God
Πάλιν	Again
ὁ	the
διάβολος	devil
παραλαμβάνει	takes
αὐτὸν	Him
εἰς	to
λίαν,	exceedingly,
ὑψηλὸν	high
ὄρος	a mountain
καὶ	and
δείκνυσιν	shows
αὐτῷ	to Him
πάσας	all
τὰς	the
βασιλείας	kingdoms
τοῦ	of the
κόσμου	world
καὶ	and
τὴν	the
αὐτῶν,	of them,
δόξαν	glory
πάντα	all
“Ταῦτά	These things
δώσω,	will I give,
σοι	to You
καὶ	and
εἶπεν	he says
αὐτῷ	to Him,
ἐὰν	if
πεσὼν	falling down,
προσκυνήσῃς	You will worship
μοι.	me.
“Ὕπαγε,	Get you away,
Σατανᾶ·	Satan;
Τότε	Then
Ἰησοῦς	Jesus,
λέγει	says
αὐτῷ	to him
ὁ	-
γάρ	for:
γέγραπται	it has been written
προσκυνήσεις	you shall worship,
‘Κύριον	[The] Lord
τὸν	the
σου	of you,
θεόν	God
καὶ	and
λατρεύσεις.’	shall you serve.’
αὐτῷ	Him
μόνῳ	alone
Τότε	Then
ὁ	the
διάβολος,	devil,
ἀφίησιν	leaves
αὐτὸν	Him
καὶ	and
ἰδοὺ	behold,
ἄγγελοι	angels
προσῆλθον	came
καὶ	and
διηκόνουν	were ministering
αὐτῷ.	to Him.
δὲ	now
Ἀκούσας	Having heard
ὅτι	that
Ἰωάννης	John
παρεδόθη	had been delivered up ,
ἀνεχώρησεν	He withdrew
εἰς	into
τὴν	-
Γαλιλαίαν.	Galilee.
καὶ	And
καταλιπὼν	having left
τὴν	-
Ναζαρὰ	Nazareth,
ἐλθὼν	having come,
κατῴκησεν	he dwelt
εἰς	at
Καφαρναοὺμ	Capernaum,
τὴν	which
παραθαλασσίαν	[is] on the sea-side
ἐν	in
ὁρίοις	[the] region
Ζαβουλὼν	of Zebulun
καὶ	and
Νεφθαλίμ·	Naphtali,
ἵνα	that
πληρωθῇ	it might be fulfilled
τὸ	that
ῥηθὲν	having been spoken
διὰ	by
τοῦ	the
προφήτου	prophet,
Ἠσαΐου	Isaiah
λέγοντος	saying:
“Γῆ	Land
Ζαβουλὼν	of Zebulun
καὶ	and
γῆ	land
Νεφθαλίμ,	of Naphtali,
ὁδὸν	way
θαλάσσης,	of [the] sea,
πέραν	beyond
τοῦ	the
Ἰορδάνου,	Jordan,
Γαλιλαία	Galilee
τῶν	of the
ἐθνῶν,	Gentiles —
ὁ	The
λαὸς	people
ὁ	-
καθήμενος	sitting
ἐν	in
σκοτίᾳ	darkness,
εἶδεν	have seen
μέγα,	great,
φῶς	a light
καὶ	and
τοῖς	to those
καθημένοις	sitting
ἐν	in [the]
χώρᾳ	land
καὶ	and
σκιᾷ	shadow
θανάτου	of death,
φῶς	a light
ἀνέτειλεν	has dawned
αὐτοῖς.”	on them.”
Ἀπὸ	From
τότε	that time
Ἰησοῦς	Jesus
ἤρξατο	began
ὁ	-
κηρύσσειν	to proclaim
καὶ	and
λέγειν	to say,
“Μετανοεῖτε,	Repent,
γὰρ	for
ἡ	the
βασιλεία	kingdom
τῶν	of the
οὐρανῶν.	heavens.
ἤγγικεν	has drawn near
δὲ	now
Περιπατῶν	Walking
παρὰ	beside
τὴν	the
θάλασσαν	Sea
τῆς	-
Γαλιλαίας	of Galilee,
εἶδεν	He saw
δύο	two
ἀδελφούς,	brothers,
Σίμωνα	Simon
τὸν	-
λεγόμενον	called
Πέτρον	Peter,
καὶ	and
τὸν	the
αὐτοῦ,	of him,
ἀδελφὸν	brother
Ἀνδρέαν	Andrew
βάλλοντας	casting
ἀμφίβληστρον	a net
εἰς	into
τὴν	the
θάλασσαν·	sea;
γὰρ	for
ἦσαν	they were
ἁλιεῖς.	fishermen.
“Δεῦτε	Come follow
ὀπίσω	after
μου,	Me,
καὶ	And
λέγει	He says
αὐτοῖς	to them,
καὶ	and
ποιήσω	I will make
ὑμᾶς	you
ἁλιεῖς	fishers
ἀνθρώπων.	of men.
οἱ	-
δὲ	And
εὐθέως	immediately
ἀφέντες	having left
τὰ	the
δίκτυα	nets,
ἠκολούθησαν	they followed
αὐτῷ.	Him.
Καὶ	And
προβὰς	having gone on
ἐκεῖθεν	from there,
εἶδεν	He saw
δύο	two
ἄλλους	others,
ἀδελφούς,	brothers,
Ἰάκωβον	James
τὸν	the [son]
τοῦ	-
Ζεβεδαίου	of Zebedee,
καὶ	and
τὸν	the
αὐτοῦ,	of him,
ἀδελφὸν	brother
Ἰωάννην	John
ἐν	in
τῷ	the
πλοίῳ	boat
μετὰ	with
τοῦ	the
αὐτῶν	of them,
πατρὸς	father
Ζεβεδαίου	Zebedee
καταρτίζοντας	mending
τὰ	the
αὐτῶν·	of them;
δίκτυα	nets
καὶ	and
ἐκάλεσεν	He called
αὐτούς.	them.
οἱ	-
δὲ	And
εὐθέως	immediately,
ἀφέντες	having left
τὸ	the
πλοῖον	boat
καὶ	and
τὸν	the
αὐτῶν	of them,
πατέρα	father
ἠκολούθησαν	they followed
αὐτῷ.	Him.
Καὶ	And
περιῆγεν	He was going
ἐν	throughout
ὅλῃ	all
τῇ	-
Γαλιλαίᾳ,	Galilee,
διδάσκων	teaching
ἐν	in
ταῖς	the
αὐτῶν	of them,
συναγωγαῖς	synagogues
καὶ	and
κηρύσσων	proclaiming
τὸ	the
εὐαγγέλιον	gospel
τῆς	of the
βασιλείας	kingdom,
καὶ	and
θεραπεύων	healing
πᾶσαν	every
νόσον	disease
καὶ	and
πᾶσαν	every
μαλακίαν	sickness
ἐν	among
τῷ	the
λαῷ.	people.
καὶ	And
ἡ	the
ἀκοὴ	news
αὐτοῦ	of Him
ἀπῆλθεν	went out
ὅλην	all
εἰς	into
τὴν	-
Συρίαν·	Syria.
καὶ	And
προσήνεγκαν	they brought
αὐτῷ	to Him
πάντας	all
τοὺς	the
κακῶς	sick
ἔχοντας	having
ποικίλαις	various
νόσοις	diseases
καὶ	and
συνεχομένους,	oppressing,
βασάνοις	pains
[καὶ]	and
δαιμονιζομένους	being possessed by demons,
καὶ	and
σεληνιαζομένους	being epileptics,
καὶ	and
παραλυτικούς,	paralytics;
καὶ	and
ἐθεράπευσεν	He healed
αὐτούς.	them.
Καὶ	And
πολλοὶ	great
ὄχλοι	crowds
ἠκολούθησαν	followed
αὐτῷ	Him
ἀπὸ	from
τῆς	-
Γαλιλαίας	Galilee,
καὶ	and
Δεκαπόλεως	[the] Decapolis,
καὶ	and
Ἱεροσολύμων	Jerusalem,
καὶ	and
Ἰουδαίας	Judea,
καὶ	and
πέραν	beyond
τοῦ	the
Ἰορδάνου.	Jordan.
δὲ	then
Ἰδὼν	Having seen
τοὺς	the
ὄχλους	crowds,
ἀνέβη	He went up
εἰς	on
τὸ	the
ὄρος·	mountain;
καὶ	and
αὐτοῦ	of Him,
καθίσαντος	having sat down
οἱ	the
αὐτοῦ·	of Him.
μαθηταὶ	disciples
προσῆλθαν	came
αὐτῷ	to Him
καὶ	And
ἀνοίξας	opening
τὸ	the
αὐτοῦ	of Him,
στόμα	mouth
ἐδίδασκεν	He was teaching
αὐτοὺς	them,
λέγων	saying:
“Μακάριοι	Blessed [are]
οἱ	the
πτωχοὶ	poor
τῷ	in the
πνεύματι,	spirit,
Ὅτι	for
αὐτῶν	theirs
ἐστιν	is
ἡ	the
βασιλεία	kingdom
τῶν	of the
οὐρανῶν.	heavens.
Μακάριοι	Blessed [are]
οἱ	those
πενθοῦντες,	mourning,
Ὅτι	for
αὐτοὶ	they
παρακληθήσονται.	will be comforted.
Μακάριοι	Blessed
οἱ	the
πραεῖς,	meek,
Ὅτι	for
αὐτοὶ	they
κληρονομήσουσιν	will inherit
τὴν	the
γῆν.	earth.
Μακάριοι	Blessed [are]
οἱ	those
πεινῶντες	hungering
καὶ	and
διψῶντες	thirsting for
τὴν	-
δικαιοσύνην,	righteousness;
Ὅτι	for
αὐτοὶ	they
χορτασθήσονται.	will be filled.
Μακάριοι	Blessed [are]
οἱ	the
ἐλεήμονες,	merciful,
Ὅτι	for
αὐτοὶ	they
ἐλεηθήσονται.	will receive mercy.
Μακάριοι	Blessed
οἱ	the
καθαροὶ	pure
τῇ	-
καρδίᾳ,	in heart,
Ὅτι	for
αὐτοὶ	they
ὄψονται.	will see.
τὸν	-
Θεὸν	God
Μακάριοι	Blessed
οἱ	the
εἰρηνοποιοί,	peacemakers,
Ὅτι	for
αὐτοὶ	they
κληθήσονται.	will be called.
υἱοὶ	sons
Θεοῦ	of God
Μακάριοι	Blessed [are]
οἱ	those
δεδιωγμένοι	having been persecuted
ἕνεκεν	on account of
δικαιοσύνης,	righteousness,
Ὅτι	for
αὐτῶν	theirs
ἐστιν	is
ἡ	the
βασιλεία	kingdom
τῶν	of the
οὐρανῶν.	heavens.
Μακάριοί	Blessed
ἐστε	are you
ὅταν	when
ὀνειδίσωσιν	they shall insult
ὑμᾶς	you,
καὶ	and
διώξωσιν	shall persecute [you],
καὶ	and
ψευδόμενοι	lying
εἴπωσιν	shall say
πᾶν	all kinds of
πονηρὸν	evil
καθ’	against
ὑμῶν	you,
ἕνεκεν	on account of
ἐμοῦ.	Me.
χαίρετε	Rejoice
καὶ	and
ἀγαλλιᾶσθε,	exult,
ὅτι	for
πολὺς	[is] great
ὁ	the
ὑμῶν	of you
μισθὸς	reward
ἐν	in
τοῖς	the
οὐρανοῖς·	heavens;
γὰρ	for
οὕτως	thus
ἐδίωξαν	they persecuted
τοὺς	the
προφήτας	prophets
τοὺς	-
πρὸ	before
ὑμῶν.	you.
Ὑμεῖς	You
ἐστε	are
τὸ	the
ἅλας	salt
τῆς	of the
γῆς·	earth;
δὲ	however,
ἐὰν	if,
τὸ	the
ἅλας	salt
μωρανθῇ,	becomes tasteless,
ἐν	with
τίνι	what
ἁλισθήσεται;	will it be salted.
ἰσχύει	it is potent
ἔτι	any longer,
εἰς	For
οὐδὲν	nothing
εἰ	if
μὴ	not
βληθὲν	having been cast
ἔξω	out,
καταπατεῖσθαι	to be trampled upon
ὑπὸ	by
τῶν	-
ἀνθρώπων.	men.
Ὑμεῖς	You
ἐστε	are
τὸ	the
φῶς	light
τοῦ	of the
κόσμου.	world.
πόλις	a city
κειμένη·	lying.
ἐπάνω	on
ὄρους	a hill
δύναται	is able
οὐ	Not
κρυβῆναι	to be hidden
οὐδὲ	Nor
καίουσιν	do they light
λύχνον	a lamp
καὶ	and
τιθέασιν	put
αὐτὸν	it
ὑπὸ	under
τὸν	-
μόδιον,	a basket,
ἀλλ’	but
ἐπὶ	upon
τὴν	the
λυχνίαν,	lampstand,
καὶ	and
λάμπει	it shines
πᾶσιν	for all
τοῖς	those
ἐν	in
τῇ	the
οἰκίᾳ.	house.
οὕτως	Thus
τὸ	the
ὑμῶν	of you
φῶς	light
λαμψάτω	let shine
ἔμπροσθεν	before
τῶν	-
ἀνθρώπων,	men,
ὅπως	so that
ἴδωσιν	they may see
ὑμῶν	your
τὰ	-
καλὰ	good
ἔργα	works,
καὶ	and
δοξάσωσιν	they should glorify
τὸν	the
ὑμῶν	of you
πατέρα	Father
τὸν	-
ἐν	in
τοῖς	the
οὐρανοῖς.	heavens.
Μὴ	Not
νομίσητε	think
ὅτι	that
ἦλθον	I have come
καταλῦσαι	to abolish
τὸν	the
νόμον	law
ἢ	or
τοὺς	the
προφήτας·	Prophets;
ἦλθον	I have come
οὐκ	not
καταλῦσαι	to abolish,
ἀλλὰ	but
πληρῶσαι·	to fulfill.
γὰρ	for
λέγω	I say
ὑμῖν,	to you,
ἀμὴν	Truly
ἕως	until
ἂν	-
ὁ	the
οὐρανὸς	heaven
καὶ	and
ἡ	the
γῆ,	earth,
παρέλθῃ	shall pass away
οὐ	no
μὴ	not
ἓν	one,
ἰῶτα	iota
ἢ	or
μία	one
κεραία	stroke of a letter,
παρέλθῃ	shall pass away
ἀπὸ	from
τοῦ	the
νόμου,	law,
ἕως	until
ἂν	-
πάντα	everything
γένηται.	should happen.
ἐὰν	if
οὖν	then
Ὃς	Whoever
λύσῃ	shall break
μίαν	one
τῶν	of the
τῶν	the
ἐλαχίστων	least
τούτων	of these
ἐντολῶν	commandments
καὶ	and
διδάξῃ	shall teach
τοὺς	the
ἀνθρώπους,	others,
οὕτως	so
κληθήσεται	he will be called
ἐλάχιστος	least
ἐν	in
τῇ	the
βασιλείᾳ	kingdom
τῶν	of the
οὐρανῶν·	heavens;
δ’	now
ὃς	whoever
ἂν	-
ποιήσῃ	shall keep
καὶ	and
διδάξῃ,	shall teach [them],
οὗτος	this [one]
κληθήσεται	will be called
μέγας	great
ἐν	in
τῇ	the
βασιλείᾳ	kingdom
τῶν	of the
οὐρανῶν.	heavens.
γὰρ	for
λέγω	I say
ὑμῖν	to you,
ὅτι	that
ἐὰν	if
μὴ	not
ὑμῶν	your
ἡ	-
δικαιοσύνη	righteousness
περισσεύσῃ	shall abound
πλεῖον	above [that]
τῶν	of the
γραμματέων	scribes
καὶ	and
Φαρισαίων,	Pharisees,
εἰσέλθητε	shall you enter
οὐ	no
μὴ	not
εἰς	into
τὴν	the
βασιλείαν	kingdom
τῶν	of the
οὐρανῶν.	heavens.
Ἠκούσατε	You have heard
ὅτι	that
ἐρρέθη	it was said
τοῖς	to the
ἀρχαίοις	ancients,
φονεύσεις·	you shall murder;
‘Οὐ	Not
δ’	now
ὃς	whoever
ἂν	-
φονεύσῃ,	shall murder,
ἔσται	will be
ἔνοχος	liable
τῇ	to the
κρίσει.’	judgment.’
δὲ	however
ἐγὼ	I
λέγω	say
ὑμῖν	to you
ὅτι	that
πᾶς	everyone
ὁ	-
ὀργιζόμενος	being angry with
τῷ	the
αὐτοῦ	of him
ἀδελφῷ	brother
ἔσται	will be
ἔνοχος	liable
τῇ	to the
κρίσει·	judgment;
δ’	now
ὃς	whoever
ἂν	-
εἴπῃ	shall say
τῷ	to
αὐτοῦ	of him,
ἀδελφῷ	brother
‘Ῥακά,’	Raca,’
ἔσται	will be
ἔνοχος	liable
τῷ	to the
συνεδρίῳ·	Sanhedrin;
δ’	now
ὃς	whoever
ἂν	-
εἴπῃ	shall say,
‘Μωρέ,	Fool,
ἔσται	will be
ἔνοχος	liable
εἰς	to
τὴν	the
τοῦ	-
πυρός.	of fire.
γέενναν	hell
οὖν	therefore
Ἐὰν	If
προσφέρῃς	you shall offer
τὸ	the
σου	of you
δῶρόν	gift
ἐπὶ	at
τὸ	the
θυσιαστήριον	altar,
κἀκεῖ	and there
μνησθῇς	shall remember
ὅτι	that
ὁ	the
σου	of you
ἀδελφός	brother
ἔχει	has
τι	something
κατὰ	against
σοῦ,	you,
ἄφες	leave
τὸ	the
σου	of you
δῶρόν	gift
ἐκεῖ	there
ἔμπροσθεν	before
τοῦ	the
θυσιαστηρίου	altar,
καὶ	and
πρῶτον	first
ὕπαγε	go away;
διαλλάγηθι	be reconciled
τῷ	to
σου,	of you;
ἀδελφῷ	brother
καὶ	and
τότε	then
ἐλθὼν	having come,
πρόσφερε	offer
τὸ	the
σου.	of you.
δῶρόν	gift
εὐνοῶν	agreeing
ταχὺ	quickly,
μετ’	with
αὐτοῦ	him,
τῷ	with
σου	of you
ἀντιδίκῳ	accuser
ἕως	while
ὅτου	which
εἶ	you are
ἐν	on
τῇ	the
ὁδῷ·	way,
ἴσθι	Be
μή‿	lest
ποτέ	ever
ὁ	the
ἀντίδικος	accuser
παραδῷ	deliver
σε	you
τῷ	to the
κριτῇ,	judge,
καὶ	and
ὁ	the
κριτὴς	judge
τῷ	to the
ὑπηρέτῃ,	officer,
καὶ	and
βληθήσῃ·	you will be cast.
εἰς	into
φυλακὴν	prison
ἀμὴν	Truly
λέγω	I say
σοι,	to you,
οὐ	no
μὴ	not
ἐξέλθῃς	shall you come out
ἐκεῖθεν	from there,
ἕως	until
ἂν	-
ἀποδῷς	you should pay
τὸν	the
ἔσχατον	last
κοδράντην.	kodranten!
Ἠκούσατε	You have heard
ὅτι	that
ἐρρέθη	it was said,
μοιχεύσεις.’	shall you commit adultery.’
‘Οὐ	Not
δὲ	however
ἐγὼ	I
λέγω	say
ὑμῖν	to you
ὅτι	that
πᾶς	everyone
ὁ	-
βλέπων	looking upon
γυναῖκα	a woman
πρὸς	in order
τὸ	-
ἐπιθυμῆσαι	to lust after
αὐτὴν	her
ἤδη	already
ἐμοίχευσεν	has committed adultery with
αὐτὴν	her
ἐν	in
τῇ	the
αὐτοῦ.	of him.
καρδίᾳ	heart
δὲ	now
εἰ	If
ὁ	the
σου	of you
ὁ	-
δεξιὸς	right
ὀφθαλμός	eye
σκανδαλίζει	causes to stumble
σε,	you,
ἔξελε	pluck out
αὐτὸν	it
καὶ	and
βάλε	cast [it]
ἀπὸ	from
σοῦ·	you;
γάρ	indeed
συμφέρει	it is better
σοι	for you
ἵνα	that
ἀπόληται	should perish
ἓν	one
τῶν	of the
σου	of you,
μελῶν	members
καὶ	and
μὴ	not
σου	of you
ὅλον	all
τὸ	the
σῶμά	body
βληθῇ	should be cast
εἰς	into
γέενναν.	hell.
καὶ	And
εἰ	if
ἡ	the
σου	of you
δεξιά	right
χεὶρ	hand
σκανδαλίζει	causes to stumble
σε,	you,
ἔκκοψον	cut off
αὐτὴν	it
καὶ	and
βάλε	cast [it]
ἀπὸ	from
σοῦ·	you;
γάρ	indeed
συμφέρει	it is better
σοι	for you
ἵνα	that
ἀπόληται	should perish
ἓν	one
τῶν	of the
σου	of you,
μελῶν	members
καὶ	and
μὴ	not
σου	of you
ὅλον	all
τὸ	the
σῶμά	body
ἀπέλθῃ.	should depart.
εἰς	into
γέενναν	hell
Ἐρρέθη	It was said
δέ	also,
‘Ὃς	Whoever
ἂν	-
ἀπολύσῃ	shall divorce
τὴν	the
αὐτοῦ,	of him,
γυναῖκα	wife
δότω	let him give
αὐτῇ	to her
ἀποστάσιον.’	a letter of divorce.’
δὲ	however
ἐγὼ	I
λέγω	say
ὑμῖν	to you
ὅτι	that
πᾶς	everyone
ὁ	-
ἀπολύων	divorcing
τὴν	the
αὐτοῦ	of him,
γυναῖκα	wife
παρεκτὸς	except
λόγου	on account
πορνείας	of sexual immorality,
ποιεῖ	causes
μοιχευθῆναι,	to commit adultery.
αὐτὴν	her
καὶ	And
ὃς	whoever
ἐὰν	if
γαμήσῃ	shall marry,
ἀπολελυμένην	her having been divorced
μοιχᾶται.	commits adultery.
Πάλιν	Again,
ἠκούσατε	you have heard
ὅτι	that
ἐρρέθη	it was said
τοῖς	to the
ἀρχαίοις	ancients,
ἐπιορκήσεις,	shall you swear falsely;
‘Οὐκ	Not
δὲ	now
ἀποδώσεις	you shall keep
τοὺς	the
σου.	of you.
ὅρκους	oaths
τῷ	to the
Κυρίῳ	Lord
δὲ	however
ἐγὼ	I
λέγω	say
ὑμῖν	to you
μὴ	not
ὀμόσαι	to swear
ὅλως·	at all:
μήτε	neither
ἐν	by
τῷ	-
οὐρανῷ,	heaven,
ὅτι	because
ἐστὶν	it is
τοῦ	-
Θεοῦ·	of God;
θρόνος	[the] throne
μήτε	nor
ἐν	by
τῇ	the
γῇ,	earth,
ὅτι	because
ἐστιν	it is
ὑποπόδιόν	[the] footstool
τῶν	of the
αὐτοῦ·	of Him;
ποδῶν	feet
μήτε	nor
εἰς	by
Ἱεροσόλυμα,	Jerusalem,
ὅτι	because
ἐστὶν	it is
πόλις	[the] city
τοῦ	of the
μεγάλου	great
Βασιλέως·	King.
μήτε	Neither
ὀμόσῃς,	shall you swear,
ἐν	by
τῇ	the
σου	of you
κεφαλῇ	head
ὅτι	because
δύνασαι	you are able
οὐ	not
ποιῆσαι	to make,
μίαν	one
τρίχα	hair
λευκὴν	white
ἢ	or
μέλαιναν.	black.
δὲ	however
ἔστω	Let it be
ὁ	the
ὑμῶν	of you,
λόγος	statement
‘Ναὶ	Yes,
ναί,	‘Yes,
οὒ	[and] ‘No,
‘Οὔ·	No.
τὸ	The
δὲ	however
περισσὸν	more than
τούτων	these,
ἐστιν.	comes.
ἐκ	from
τοῦ	-
πονηροῦ	evil
Ἠκούσατε	You have heard
ὅτι	that
ἐρρέθη	it was said,
‘Ὀφθαλμὸν	Eye
ἀντὶ	for
ὀφθαλμοῦ	eye,
καὶ	and
ὀδόντα	tooth
ἀντὶ	for
ὀδόντος.’	tooth.’
δὲ	however
ἐγὼ	I
λέγω	say
ὑμῖν	to you,
μὴ	not
ἀντιστῆναι	to resist
τῷ	the
πονηρῷ·	evil [person].
ἀλλ’	Instead,
ὅστις	whoever
ῥαπίζει	shall strike
σε	you
εἰς	on
τὴν	the
σου,	of you,
δεξιὰν	right
σιαγόνα	cheek
στρέψον	turn
αὐτῷ	to him
τὴν	the
ἄλλην·	other;
καὶ	also
καὶ	and
